winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Bermuda,,2024-12-15,"Belgrano Athletic Club Ground, Buenos Aires",Bermuda,bat,Bermuda,Bahamas
Cayman Islands,,2024-12-15,"Hurlingham Club Ground, Buenos Aires",Argentina,field,Cayman Islands,Argentina
Bangladesh,,2024-12-15,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,Bangladesh,West Indies
Saudi Arabia,,2024-12-15,"ICC Academy, Dubai",Saudi Arabia,field,Qatar,Saudi Arabia
Bermuda,,2024-12-16,"St Albans Club, Buenos Aires",Bermuda,bat,Bermuda,Cayman Islands
Bahrain,,2024-12-16,"ICC Academy, Dubai",Bahrain,field,Saudi Arabia,Bahrain
Argentina,,2024-12-16,"St George's College Ground, Buenos Aires",Brazil,field,Argentina,Brazil
Suriname,,2024-12-16,"St Albans Club, Buenos Aires",Belize,bat,Belize,Suriname
United Arab Emirates,,2024-12-16,"ICC Academy, Dubai",United Arab Emirates,bat,United Arab Emirates,Kuwait
Bahamas,,2024-12-16,"St George's College Ground, Buenos Aires",Bahamas,bat,Bahamas,Mexico
Oman,,2024-12-17,"ICC Academy, Dubai",Bahrain,field,Oman,Bahrain
Bangladesh,,2024-12-17,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,Bangladesh,West Indies
Kuwait,,2024-12-17,"ICC Academy, Dubai",Kuwait,field,Qatar,Kuwait
Saudi Arabia,,2024-12-18,"ICC Academy, Dubai",Saudi Arabia,field,Oman,Saudi Arabia
United Arab Emirates,,2024-12-18,"ICC Academy, Dubai",United Arab Emirates,bat,United Arab Emirates,Qatar
Bangladesh,,2024-12-19,"Arnos Vale Ground, Kingstown, St Vincent",Bangladesh,bat,Bangladesh,West Indies
Saudi Arabia,,2024-12-19,"ICC Academy, Dubai",United Arab Emirates,field,Saudi Arabia,United Arab Emirates
Kuwait,,2024-12-20,"ICC Academy, Dubai",Oman,bat,Oman,Kuwait
Qatar,,2024-12-20,"ICC Academy, Dubai",Qatar,field,Bahrain,Qatar
United Arab Emirates,,2024-12-21,Dubai International Cricket Stadium,United Arab Emirates,bat,United Arab Emirates,Kuwait
New Zealand,,2024-12-28,"Bay Oval, Mount Maunganui",Sri Lanka,field,New Zealand,Sri Lanka
New Zealand,,2024-12-30,"Bay Oval, Mount Maunganui",Sri Lanka,field,New Zealand,Sri Lanka
Sri Lanka,,2025-01-02,"Saxton Oval, Nelson",New Zealand,field,Sri Lanka,New Zealand
India,,2025-01-22,"Eden Gardens, Kolkata",India,field,England,India
India,,2025-01-25,"MA Chidambaram Stadium, Chepauk, Chennai",India,field,England,India
England,,2025-01-28,"Saurashtra Cricket Association Stadium, Rajkot",India,field,England,India
India,,2025-01-31,"Maharashtra Cricket Association Stadium, Pune",England,field,India,England
India,,2025-02-02,"Wankhede Stadium, Mumbai",England,field,India,England
Hungary,,2025-02-03,Marsa Sports Club,Malta,field,Hungary,Malta
Austria,,2025-02-03,Marsa Sports Club,Austria,field,Malta,Austria
Austria,,2025-02-04,Marsa Sports Club,Hungary,bat,Hungary,Austria
Hungary,,2025-02-04,Marsa Sports Club,Malta,bat,Malta,Hungary
Austria,,2025-02-05,Marsa Sports Club,Austria,field,Malta,Austria
Hungary,,2025-02-05,Marsa Sports Club,Hungary,field,Austria,Hungary
Bahrain,,2025-02-19,Udayana Cricket Ground,Indonesia,field,Bahrain,Indonesia
United States of America,,2025-02-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,field,Oman,United States of America
Bahrain,,2025-02-20,Udayana Cricket Ground,Bahrain,field,Indonesia,Bahrain
United States of America,,2025-02-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,field,Oman,United States of America
Indonesia,,2025-02-22,Udayana Cricket Ground,Indonesia,field,Bahrain,Indonesia
Zimbabwe,,2025-02-23,Harare Sports Club,Zimbabwe,field,Ireland,Zimbabwe
United States of America,,2025-02-23,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Oman,United States of America
Bahrain,,2025-02-23,Udayana Cricket Ground,Indonesia,field,Bahrain,Indonesia
Bahrain,,2025-02-24,Udayana Cricket Ground,Indonesia,bat,Indonesia,Bahrain
Bahrain,,2025-02-28,Singapore National Cricket Ground,Singapore,field,Bahrain,Singapore
Bahrain,,2025-03-01,Singapore National Cricket Ground,Singapore,bat,Singapore,Bahrain
Bahrain,,2025-03-02,Singapore National Cricket Ground,Singapore,bat,Singapore,Bahrain
Bahrain,,2025-03-10,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,Malaysia,Bahrain
Bahrain,,2025-03-11,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Hong Kong,Bahrain
Hong Kong,,2025-03-12,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Hong Kong,Malaysia
Bahrain,,2025-03-13,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Bahrain,Malaysia
Hong Kong,,2025-03-15,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Hong Kong
New Zealand,,2025-03-16,"Hagley Oval, Christchurch",New Zealand,field,Pakistan,New Zealand
Bahrain,,2025-03-17,"Bayuemas Oval, Kuala Lumpur",Hong Kong,bat,Hong Kong,Bahrain
New Zealand,,2025-03-18,"University Oval, Dunedin",New Zealand,field,Pakistan,New Zealand
Namibia,,2025-03-19,"Namibia Cricket Ground, Windhoek",Namibia,field,Canada,Namibia
Pakistan,,2025-03-21,"Eden Park, Auckland",Pakistan,field,New Zealand,Pakistan
Namibia,,2025-03-22,"Namibia Cricket Ground, Windhoek",Canada,bat,Canada,Namibia
Namibia,,2025-03-23,"Namibia Cricket Ground, Windhoek",Namibia,field,Canada,Namibia
New Zealand,,2025-03-23,"Bay Oval, Mount Maunganui",Pakistan,field,New Zealand,Pakistan
New Zealand,,2025-03-26,"Sky Stadium, Wellington",New Zealand,field,Pakistan,New Zealand
Norway,,2025-04-07,Santarem Cricket Ground,Portugal,field,Norway,Portugal
Portugal,,2025-04-08,Santarem Cricket Ground,Norway,bat,Norway,Portugal
Kuwait,,2025-04-09,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,field,Hong Kong,Kuwait
Nepal,,2025-04-09,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Qatar,Nepal
Portugal,,2025-04-09,Santarem Cricket Ground,Portugal,bat,Portugal,Norway
Hong Kong,,2025-04-10,"Mission Road Ground, Mong Kok, Hong Kong",Qatar,field,Hong Kong,Qatar
Nepal,,2025-04-10,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Kuwait,Nepal
Kuwait,,2025-04-12,"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,field,Qatar,Kuwait
Hong Kong,,2025-04-13,"Mission Road Ground, Mong Kok, Hong Kong",Qatar,field,Hong Kong,Qatar
Kuwait,,2025-04-13,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,Kuwait,Nepal
Panama,,2025-04-17,"Clayton Panama, Panama City",Panama,bat,Panama,Turks and Caicos Island
Mexico,,2025-04-17,"Clayton Panama, Panama City",Costa Rica,field,Mexico,Costa Rica
Panama,,2025-04-18,"Clayton Panama, Panama City",Costa Rica,bat,Costa Rica,Panama
Mexico,,2025-04-18,"Clayton Panama, Panama City",Turks and Caicos Island,bat,Turks and Caicos Island,Mexico
Panama,,2025-04-19,"Clayton Panama, Panama City",Panama,bat,Panama,Mexico
United States of America,,2025-04-19,"Jimmy Powell Oval, Cayman Islands",United States of America,bat,United States of America,Cayman Islands
Canada,,2025-04-19,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,Bermuda,Canada
Turks and Caicos Island,,2025-04-19,"Clayton Panama, Panama City",Costa Rica,bat,Costa Rica,Turks and Caicos Island
Costa Rica,,2025-04-20,"Clayton Panama, Panama City",Turks and Caicos Island,bat,Turks and Caicos Island,Costa Rica
United States of America,,2025-04-20,"Jimmy Powell Oval, Cayman Islands",United States of America,bat,United States of America,Bahamas
Bermuda,,2025-04-20,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,Bermuda,Cayman Islands
Canada,,2025-04-21,"Jimmy Powell Oval, Cayman Islands",Bahamas,bat,Bahamas,Canada
United States of America,,2025-04-21,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,Bermuda,United States of America
Bermuda,,2025-04-23,"Jimmy Powell Oval, Cayman Islands",Bahamas,bat,Bahamas,Bermuda
Canada,,2025-04-23,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,field,Canada,Cayman Islands
Canada,,2025-04-24,"Jimmy Powell Oval, Cayman Islands",Canada,bat,Canada,United States of America
Malaysia,,2025-04-24,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Singapore
Saudi Arabia,,2025-04-24,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,bat,Saudi Arabia,Thailand
Cayman Islands,,2025-04-24,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,bat,Cayman Islands,Bahamas
Saudi Arabia,,2025-04-25,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,bat,Saudi Arabia,Singapore
Malaysia,,2025-04-25,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,Thailand,Malaysia
Malaysia,,2025-04-26,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,bat,Saudi Arabia,Malaysia
Singapore,,2025-04-26,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Singapore,Thailand
Canada,,2025-04-26,"Jimmy Powell Oval, Cayman Islands",Cayman Islands,bat,Cayman Islands,Canada
United States of America,,2025-04-26,"Jimmy Powell Oval, Cayman Islands",Bermuda,bat,Bermuda,United States of America
United States of America,,2025-04-27,"Jimmy Powell Oval, Cayman Islands",Canada,bat,Canada,United States of America
Saudi Arabia,,2025-04-28,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Saudi Arabia,Thailand
Malaysia,,2025-04-29,"Bayuemas Oval, Kuala Lumpur",Thailand,field,Malaysia,Thailand
Saudi Arabia,,2025-04-29,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Singapore,Saudi Arabia
Saudi Arabia,,2025-04-30,"Bayuemas Oval, Kuala Lumpur",Saudi Arabia,field,Malaysia,Saudi Arabia
Singapore,,2025-05-02,"Bayuemas Oval, Kuala Lumpur",Singapore,bat,Singapore,Thailand
Malaysia,,2025-05-02,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,Malaysia,Saudi Arabia
Estonia,,2025-05-06,Marsa Sports Club,Estonia,field,Malta,Estonia
Malta,,2025-05-06,Marsa Sports Club,Estonia,field,Malta,Estonia
Cook Islands,,2025-05-07,Sano International Cricket Ground,Thailand,bat,Thailand,Cook Islands
Malta,,2025-05-07,Marsa Sports Club,Estonia,field,Malta,Estonia
Japan,,2025-05-08,Sano International Cricket Ground,Japan,bat,Japan,Thailand
Japan,,2025-05-09,Sano International Cricket Ground,Cook Islands,field,Japan,Cook Islands
Thailand,,2025-05-09,Sano International Cricket Ground,Thailand,field,Cook Islands,Thailand
Thailand,,2025-05-11,Sano International Cricket Ground,Japan,bat,Japan,Thailand
Japan,,2025-05-13,Sano International Cricket Ground,Cook Islands,bat,Cook Islands,Japan
Japan,,2025-05-14,Sano International Cricket Ground,Cook Islands,field,Japan,Cook Islands
Bangladesh,,2025-05-17,Sharjah Cricket Stadium,United Arab Emirates,field,Bangladesh,United Arab Emirates
Austria,,2025-05-17,"Velden Cricket Ground, Latschach",Slovenia,field,Austria,Slovenia
Austria,,2025-05-18,"Ballpark Ground, Graz",Slovenia,bat,Slovenia,Austria
Austria,,2025-05-18,"Ballpark Ground, Graz",Austria,bat,Austria,Slovenia
United Arab Emirates,,2025-05-19,Sharjah Cricket Stadium,United Arab Emirates,field,Bangladesh,United Arab Emirates
United Arab Emirates,,2025-05-21,Sharjah Cricket Stadium,United Arab Emirates,field,Bangladesh,United Arab Emirates
Pakistan,,2025-05-28,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan,Bangladesh
Portugal,,2025-05-30,"Stars Arena Hofstade, Zemst",Portugal,field,Malta,Portugal
Austria,,2025-05-30,"Velden Cricket Ground, Latschach",Austria,bat,Austria,Switzerland
Portugal,,2025-05-30,"Stars Arena Hofstade, Zemst",Belgium,bat,Belgium,Portugal
Belgium,,2025-05-30,"Stars Arena Hofstade, Zemst",Malta,bat,Malta,Belgium
Pakistan,,2025-05-30,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan,Bangladesh
Belgium,,2025-05-31,"Stars Arena Hofstade, Zemst",Malta,field,Belgium,Malta
Portugal,,2025-05-31,"Stars Arena Hofstade, Zemst",Belgium,bat,Belgium,Portugal
Austria,,2025-05-31,"Velden Cricket Ground, Latschach",Switzerland,field,Austria,Switzerland
Switzerland,,2025-05-31,"Velden Cricket Ground, Latschach",Austria,bat,Austria,Switzerland
Portugal,,2025-05-31,"Stars Arena Hofstade, Zemst",Malta,bat,Malta,Portugal
Pakistan,,2025-06-01,"Gaddafi Stadium, Lahore",Pakistan,field,Bangladesh,Pakistan
Austria,,2025-06-01,"Velden Cricket Ground, Latschach",Austria,bat,Austria,Switzerland
Belgium,,2025-06-01,"Stars Arena Hofstade, Zemst",Portugal,field,Belgium,Portugal
Guernsey,,2025-06-06,"Grainville, St Saviour",Guernsey,field,Jersey,Guernsey
England,,2025-06-06,"Riverside Ground, Chester-le-Street",England,bat,England,West Indies
Jersey,,2025-06-07,"Grainville, St Saviour",Jersey,field,Guernsey,Jersey
Serbia,,2025-06-07,Lisicji Jarak Cricket Ground,Slovenia,bat,Slovenia,Serbia
Jersey,,2025-06-07,"Grainville, St Saviour",Jersey,bat,Jersey,Guernsey
Serbia,,2025-06-08,Lisicji Jarak Cricket Ground,Slovenia,field,Serbia,Slovenia
Norway,,2025-06-08,"Scott Page Field, Vinor",Norway,bat,Norway,Czech Republic
England,,2025-06-08,"County Ground, Bristol",England,field,West Indies,England
Austria,,2025-06-08,"Scott Page Field, Vinor",Austria,field,Czech Republic,Austria
Austria,,2025-06-09,"Scott Page Field, Vinor",Austria,bat,Austria,Czech Republic
Norway,,2025-06-09,"Scott Page Field, Vinor",Norway,bat,Norway,Austria
Norway,,2025-06-10,"Scott Page Field, Vinor",Czech Republic,field,Norway,Czech Republic
England,,2025-06-10,"The Rose Bowl, Southampton",West Indies,field,England,West Indies
Austria,,2025-06-10,"Scott Page Field, Vinor",Norway,bat,Norway,Austria
Cambodia,,2025-06-11,Udayana Cricket Ground,Cambodia,field,Indonesia,Cambodia
Cambodia,,2025-06-12,Udayana Cricket Ground,Cambodia,field,Indonesia,Cambodia
Cambodia,,2025-06-12,Udayana Cricket Ground,Indonesia,bat,Indonesia,Cambodia
Canada,,2025-06-12,"Maple Leaf North-East Ground, King City",Canada,bat,Canada,Bahamas
Bermuda,,2025-06-12,"Maple Leaf North-East Ground, King City",Bermuda,bat,Bermuda,Cayman Islands
Canada,,2025-06-13,"Maple Leaf North-East Ground, King City",Canada,bat,Canada,Cayman Islands
Bermuda,,2025-06-13,"Maple Leaf North-East Ground, King City",Bermuda,bat,Bermuda,Bahamas
Denmark,,2025-06-13,"Ishoj Cricket Club, Vejledalen",Finland,field,Denmark,Finland
Sweden,,2025-06-14,"Ishoj Cricket Club, Vejledalen",Finland,field,Sweden,Finland
Finland,,2025-06-14,"Ishoj Cricket Club, Vejledalen",Finland,bat,Finland,Norway
Indonesia,,2025-06-14,Udayana Cricket Ground,Indonesia,field,Cambodia,Indonesia
Denmark,,2025-06-14,Koge Cricket Club,Denmark,bat,Denmark,Sweden
Norway,,2025-06-14,Koge Cricket Club,Denmark,bat,Denmark,Norway
Norway,,2025-06-15,"Ishoj Cricket Club, Vejledalen",Sweden,bat,Sweden,Norway
Finland,,2025-06-15,"Ishoj Cricket Club, Vejledalen",Finland,bat,Finland,Norway
Canada,,2025-06-15,"Maple Leaf North-West Ground, King City",Bermuda,field,Canada,Bermuda
West Indies,,2025-06-15,"Bready Cricket Club, Magheramason, Bready",Ireland,field,West Indies,Ireland
Cayman Islands,,2025-06-15,"Maple Leaf North-West Ground, King City",Bahamas,field,Cayman Islands,Bahamas
Cambodia,,2025-06-15,Udayana Cricket Ground,Indonesia,bat,Indonesia,Cambodia
Scotland,,2025-06-15,"Titwood, Glasgow",Netherlands,field,Scotland,Netherlands
Cambodia,,2025-06-15,Udayana Cricket Ground,Cambodia,field,Indonesia,Cambodia
Canada,,2025-06-16,"Maple Leaf North-West Ground, King City",Cayman Islands,field,Canada,Cayman Islands
Indonesia,,2025-06-16,Udayana Cricket Ground,Indonesia,field,Cambodia,Indonesia
Bermuda,,2025-06-16,"Maple Leaf North-West Ground, King City",Bahamas,bat,Bahamas,Bermuda
Nepal,,2025-06-17,"Titwood, Glasgow",Nepal,field,Scotland,Nepal
Netherlands,,2025-06-18,"Titwood, Glasgow",Scotland,field,Netherlands,Scotland
Canada,,2025-06-18,"Maple Leaf North-West Ground, King City",Canada,field,Bahamas,Canada
Bermuda,,2025-06-18,"Maple Leaf North-West Ground, King City",Bermuda,field,Cayman Islands,Bermuda
Bermuda,,2025-06-19,"Maple Leaf North-West Ground, King City",Bahamas,field,Bermuda,Bahamas
Canada,,2025-06-19,"Maple Leaf North-West Ground, King City",Cayman Islands,field,Canada,Cayman Islands
Nepal,,2025-06-19,"Titwood, Glasgow",Nepal,field,Netherlands,Nepal
Scotland,,2025-06-20,"Titwood, Glasgow",Scotland,bat,Scotland,Nepal
Hungary,,2025-06-21,"GB Oval, Szodliget",Hungary,bat,Hungary,Slovenia
Cayman Islands,,2025-06-21,"Maple Leaf North-West Ground, King City",Cayman Islands,field,Bermuda,Cayman Islands
Canada,,2025-06-21,"Maple Leaf North-West Ground, King City",Canada,field,Bahamas,Canada
Switzerland,,2025-06-21,Pierre Werner Cricket Ground,Luxembourg,field,Switzerland,Luxembourg
Switzerland,,2025-06-21,Pierre Werner Cricket Ground,Switzerland,bat,Switzerland,Luxembourg
Hungary,,2025-06-21,"GB Oval, Szodliget",Hungary,bat,Hungary,Slovenia
Hungary,,2025-06-22,"GB Oval, Szodliget",Slovenia,bat,Slovenia,Hungary
Cayman Islands,,2025-06-22,"Maple Leaf North-West Ground, King City",Bahamas,field,Cayman Islands,Bahamas
Luxembourg,,2025-06-22,Pierre Werner Cricket Ground,Switzerland,bat,Switzerland,Luxembourg
Malta,,2025-06-26,"Moara Vlasiei Cricket Ground, Ilfov County",France,bat,France,Malta
Belgium,,2025-06-26,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,Belgium,Malta
Austria,,2025-06-27,"Moara Vlasiei Cricket Ground, Ilfov County",Austria,field,Hungary,Austria
Romania,,2025-06-27,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Hungary,Romania
Belgium,,2025-06-27,"Moara Vlasiei Cricket Ground, Ilfov County",Belgium,bat,Belgium,France
Austria,,2025-06-28,"Moara Vlasiei Cricket Ground, Ilfov County",Austria,field,Belgium,Austria
Malta,,2025-06-28,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Malta,Romania
Hungary,,2025-06-29,"Moara Vlasiei Cricket Ground, Ilfov County",France,field,Hungary,France
Netherlands,,2025-07-05,"Sportpark Westvliet, Voorburg",Netherlands,field,Jersey,Netherlands
Germany,,2025-07-05,"TCA Oval, Blantyre",Germany,field,Malawi,Germany
Italy,,2025-07-05,"Sportpark Westvliet, Voorburg",Italy,field,Guernsey,Italy
Bahrain,,2025-07-06,"TCA Oval, Blantyre",Bahrain,bat,Bahrain,Germany
Philippines,,2025-07-06,Udayana Cricket Ground,Indonesia,field,Philippines,Indonesia
Indonesia,,2025-07-07,Udayana Cricket Ground,Philippines,field,Indonesia,Philippines
Bahrain,,2025-07-07,"TCA Oval, Blantyre",Malawi,bat,Malawi,Bahrain
Philippines,,2025-07-07,Udayana Cricket Ground,Philippines,field,South Korea,Philippines
Germany,,2025-07-07,"TCA Oval, Blantyre",Tanzania,bat,Tanzania,Germany
Jersey,,2025-07-08,"Sportpark Westvliet, Voorburg",Guernsey,field,Jersey,Guernsey
Tanzania,,2025-07-08,"TCA Oval, Blantyre",Tanzania,field,Bahrain,Tanzania
Scotland,,2025-07-08,"Sportpark Westvliet, Voorburg",Scotland,bat,Scotland,Netherlands
Indonesia,,2025-07-08,Udayana Cricket Ground,South Korea,field,Indonesia,South Korea
Indonesia,,2025-07-09,Udayana Cricket Ground,South Korea,bat,South Korea,Indonesia
Netherlands,,2025-07-09,"Sportpark Westvliet, Voorburg",Netherlands,bat,Netherlands,Guernsey
Italy,,2025-07-09,"Sportpark Westvliet, Voorburg",Italy,bat,Italy,Scotland
South Korea,,2025-07-09,Udayana Cricket Ground,Philippines,field,South Korea,Philippines
Sri Lanka,,2025-07-10,Pallekele International Cricket Stadium,Sri Lanka,field,Bangladesh,Sri Lanka
Bahrain,,2025-07-10,"TCA Oval, Blantyre",Bahrain,field,Tanzania,Bahrain
Bulgaria,,2025-07-10,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Turkey,Bulgaria
Gibraltar,,2025-07-10,"Vassil Levski National Sports Academy, Sofia",Gibraltar,field,Bulgaria,Gibraltar
Philippines,,2025-07-10,Udayana Cricket Ground,Indonesia,bat,Indonesia,Philippines
Malawi,,2025-07-10,"TCA Oval, Blantyre",Malawi,bat,Malawi,Germany
Philippines,,2025-07-10,Udayana Cricket Ground,Philippines,bat,Philippines,South Korea
Netherlands,,2025-07-11,"Sportpark Westvliet, Voorburg",Italy,bat,Italy,Netherlands
Gibraltar,,2025-07-11,"Vassil Levski National Sports Academy, Sofia",Gibraltar,field,Turkey,Gibraltar
Bulgaria,,2025-07-11,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Gibraltar,Bulgaria
Jersey,,2025-07-11,"Sportpark Westvliet, Voorburg",Jersey,field,Scotland,Jersey
Tanzania,,2025-07-12,"TCA Oval, Blantyre",Tanzania,field,Germany,Tanzania
Turkey,,2025-07-12,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Turkey,Bulgaria
Bahrain,,2025-07-12,"TCA Oval, Blantyre",Malawi,bat,Malawi,Bahrain
Philippines,,2025-07-12,Udayana Cricket Ground,Philippines,bat,Philippines,South Korea
Gibraltar,,2025-07-12,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,Turkey,Gibraltar
South Korea,,2025-07-12,Udayana Cricket Ground,South Korea,field,Indonesia,South Korea
Philippines,,2025-07-13,Udayana Cricket Ground,Philippines,field,Indonesia,Philippines
Bangladesh,,2025-07-13,Rangiri Dambulla International Stadium,Sri Lanka,field,Bangladesh,Sri Lanka
Tanzania,,2025-07-13,"TCA Oval, Blantyre",Tanzania,field,Bahrain,Tanzania
Indonesia,,2025-07-13,Udayana Cricket Ground,South Korea,bat,South Korea,Indonesia
Germany,,2025-07-13,"TCA Oval, Blantyre",Germany,bat,Germany,Malawi
Bulgaria,,2025-07-13,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Gibraltar,Bulgaria
